entity_id,refplant,time_index_colombia,energyproducedtoday_delta,n_muestras,gap_h,calidad,reinicio
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 06:00:00,0.0,20,11.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 07:00:00,0.0,29,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 08:00:00,0.0,35,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 09:00:00,0.0,36,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 10:00:00,0.0,36,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 11:00:00,0.0,42,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 12:00:00,0.0,39,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 13:00:00,0.0,36,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 14:00:00,0.0,37,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 15:00:00,0.0,34,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 16:00:00,0.0,36,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-01-31 17:00:00,0.0,36,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 06:00:00,0.0,16,13.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 07:00:00,0.0,32,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 08:00:00,0.0,26,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 09:00:00,0.0,17,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 10:00:00,0.0,21,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 11:00:00,0.0,22,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 12:00:00,0.0,26,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 13:00:00,0.0,25,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 14:00:00,0.0,21,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 15:00:00,0.0,23,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 16:00:00,0.0,20,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 17:00:00,0.0,30,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-01 18:00:00,0.0,7,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 06:00:00,0.0,22,12.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 07:00:00,0.0,25,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 08:00:00,0.0,30,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 09:00:00,0.0,12,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 10:00:00,0.0,23,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 11:00:00,0.0,27,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 12:00:00,0.0,29,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 13:00:00,0.0,31,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 14:00:00,0.0,31,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 15:00:00,0.0,28,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 16:00:00,0.0,41,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 17:00:00,0.0,36,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-02 18:00:00,0.0,13,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 06:00:00,0.0,8,12.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 07:00:00,0.0,38,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 08:00:00,0.0,37,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 09:00:00,0.0,40,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 10:00:00,0.0,30,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 11:00:00,0.0,33,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 12:00:00,0.0,33,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 13:00:00,0.0,38,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 14:00:00,0.0,31,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 15:00:00,0.0,32,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 16:00:00,0.0,27,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 17:00:00,0.0,36,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-03 18:00:00,0.0,13,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 06:00:00,0.0,23,12.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 07:00:00,0.0,33,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 08:00:00,0.0,19,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 09:00:00,0.0,32,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 10:00:00,0.0,32,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 11:00:00,0.0,23,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 12:00:00,0.0,21,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 13:00:00,0.0,33,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 14:00:00,0.0,29,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 15:00:00,0.0,35,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 16:00:00,0.0,26,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 17:00:00,0.0,32,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-04 18:00:00,0.0,4,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 06:00:00,0.0,28,12.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 07:00:00,0.0,24,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 08:00:00,0.0,39,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 09:00:00,0.0,19,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 10:00:00,0.0,17,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 11:00:00,0.0,11,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 12:00:00,0.0,12,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 13:00:00,0.0,16,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 14:00:00,0.0,26,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 15:00:00,0.0,34,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 16:00:00,0.0,33,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 17:00:00,0.0,35,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-05 18:00:00,0.0,12,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 06:00:00,0.0,16,12.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 07:00:00,0.0,16,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 12:00:00,0.0,9,5.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 13:00:00,0.0,24,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 14:00:00,0.0,34,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 15:00:00,0.0,14,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 16:00:00,0.0,25,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 17:00:00,0.0,40,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-06 18:00:00,0.0,10,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 06:00:00,0.0,22,12.0,hueco,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 07:00:00,0.0,27,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 08:00:00,0.0,27,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 09:00:00,0.0,30,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 10:00:00,0.0,30,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 11:00:00,0.0,26,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 12:00:00,0.0,31,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 13:00:00,0.0,17,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 14:00:00,0.0,28,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 15:00:00,0.0,34,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 16:00:00,0.0,23,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 17:00:00,0.0,31,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-07 18:00:00,0.0,8,1.0,ok,False
fronius_plant_45kWinverter1,fronius_plant_45kW,2026-02-08 06:00:00,0.0,23,12.0,hueco,False
