entity_id,time_index_colombia,energyfrombattery_delta,energytobattery_delta,gridinputenergy_delta,gridoutputenergy_delta,n_muestras,gap_h,calidad
Inverter_XW:10,2026-01-30 21:00:00,0.0,0.0,2.5159999999959837,0.0,1,2.0,hueco
Inverter_XW:10,2026-01-30 22:00:00,0.0,0.0,0.1500000000014552,0.0,1,1.0,ok
Inverter_XW:10,2026-01-30 23:00:00,0.0,0.0,0.033000000003085006,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 00:00:00,0.0,0.0,0.030999999995401595,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 01:00:00,0.0,0.0,0.03200000000651926,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 02:00:00,0.0,0.0,0.033999999999650754,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 03:00:00,0.0,0.0,0.029999999998835847,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 04:00:00,0.0,0.0,0.03299999999580905,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 06:00:00,0.0,0.0,0.0319999999992433,0.0,1,2.0,hueco
Inverter_XW:10,2026-01-31 07:00:00,0.0,0.0,0.02500000000145519,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 08:00:00,0.0,0.0,1.389999999999418,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 09:00:00,0.0,0.0,2.9100000000034925,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 10:00:00,0.0,0.0,3.540000000000873,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 12:00:00,0.0,0.0,2.849999999998545,0.0,1,2.0,hueco
Inverter_XW:10,2026-01-31 13:00:00,0.0,0.0,1.4250000000029104,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 14:00:00,0.0,0.0,1.3349999999991269,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 16:00:00,0.0,0.0,1.5169999999998254,0.0,1,2.0,hueco
Inverter_XW:10,2026-01-31 17:00:00,0.0,0.0,1.315999999998894,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 18:00:00,0.0,0.0,0.4139999999970314,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 19:00:00,0.0,0.0,1.1490000000048894,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 20:00:00,0.0,0.0,0.04599999999481952,0.0,1,1.0,ok
Inverter_XW:10,2026-01-31 22:00:00,0.0,0.0,0.04800000000250293,0.0,1,2.0,hueco
Inverter_XW:10,2026-02-01 00:00:00,0.0,0.0,0.046000000002095476,0.0,1,2.0,hueco
Inverter_XW:10,2026-02-01 01:00:00,0.0,0.0,0.043999999994412065,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 02:00:00,0.0,0.0,0.040000000000873115,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 04:00:00,0.0,0.0,0.040000000000873115,0.0,1,2.0,hueco
Inverter_XW:10,2026-02-01 05:00:00,0.0,0.0,0.040000000000873115,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 07:00:00,0.0,0.0,0.03500000000349246,0.0,1,2.0,hueco
Inverter_XW:10,2026-02-01 08:00:00,0.0,0.0,0.0349999999962165,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 09:00:00,0.0,0.0,0.040000000000873115,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 10:00:00,0.0,0.0,0.027000000001862645,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 11:00:00,0.0,0.0,0.026999999994586688,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 12:00:00,0.0,0.0,0.026000000005296897,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 13:00:00,0.0,0.0,0.029999999998835847,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 14:00:00,0.0,0.0,0.02599999999802094,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 15:00:00,0.0,0.0,0.027999999998428393,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 16:00:00,0.0,0.0,0.01900000000023283,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 17:00:00,0.0,0.0,0.0319999999992433,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 18:00:00,0.0,0.0,0.023000000001047738,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 19:00:00,0.0,0.0,0.04200000000128057,0.0,2,1.0,ok
Inverter_XW:10,2026-02-01 20:00:00,0.0,0.0,0.0319999999992433,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 21:00:00,0.0,0.0,0.024000000004889444,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 22:00:00,0.0,0.0,0.026999999994586688,0.0,1,1.0,ok
Inverter_XW:10,2026-02-01 23:00:00,0.0,0.0,0.023000000001047738,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 00:00:00,0.0,0.0,0.027999999998428393,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 01:00:00,0.0,0.0,0.046000000002095476,0.0,2,1.0,ok
Inverter_XW:10,2026-02-02 02:00:00,0.0,0.0,0.029999999998835847,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 03:00:00,0.0,0.0,0.02500000000145519,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 04:00:00,0.0,0.0,0.027999999998428393,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 05:00:00,0.0,0.0,0.023000000001047738,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 06:00:00,0.0,0.0,0.023999999997613486,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 07:00:00,0.0,0.0,2.1560000000026776,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 08:00:00,0.0,0.0,2.4800000000032014,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 09:00:00,0.0,0.0,2.6599999999962165,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 10:00:00,0.0,0.0,4.868000000002212,0.0,2,1.0,ok
Inverter_XW:10,2026-02-02 11:00:00,0.0,0.0,2.311999999998079,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 12:00:00,0.0,0.0,2.4420000000027358,0.0,1,1.0,ok
Inverter_XW:10,2026-02-02 13:00:00,0.0,0.0,3.8589999999967404,0.0,2,1.0,ok
Inverter_XW:10,2026-02-02 14:00:00,0.004999999999881766,1.3190000000001874,4.620999999999185,0.0,27,1.0,ok
Inverter_XW:10,2026-02-02 15:00:00,0.0,1.5670000000000073,4.7520000000004075,0.0,43,1.0,ok
Inverter_XW:10,2026-02-02 16:00:00,0.0,0.0,2.1850000000049477,0.0,5,1.0,ok
Inverter_XW:10,2026-02-02 17:00:00,0.0,0.0,2.8289999999979045,0.0,2,1.0,ok
Inverter_XW:10,2026-02-02 18:00:00,0.0,0.0,1.5889999999999418,0.0,1,1.0,ok
