bloque,fecha,e_wh,area_m2,KPI01_kwh_m2
3,2026-02-10,135262.87999999523,4778.68,0.028305490219055308
3,2026-02-11,134597.1033333391,4778.68,0.028166167923639813
3,2026-02-12,128427.78000000119,4778.68,0.026875157993421023
3,2026-02-13,123720.6400000006,4778.68,0.025890128654775083
3,2026-02-14,52354.42000000179,4778.68,0.010955832991537786
3,2026-02-15,40230.14260869473,4778.68,0.008418672647822145
3,2026-02-16,129544.11478260905,4778.68,0.02710876534578776
3,2026-02-17,131194.79999999702,4778.68,0.027454192371114412
3,2026-02-18,133617.0,4778.68,0.027961068747018
3,2026-02-19,129932.24000000209,4778.68,0.027189985519014054
3,2026-02-20,124037.6799999997,4778.68,0.025956473335732814
3,2026-02-21,60395.66666666418,4778.68,0.012638566856676777
3,2026-02-22,39596.93666666746,4778.68,0.008286166193732883
3,2026-02-23,115220.00999999791,4778.68,0.024111262942904298
3,2026-02-24,114609.19333333522,4778.68,0.02398344173146878
3,2026-02-25,118756.25666666776,4778.68,0.024851267853605544
3,2026-02-26,137332.51333334297,4778.68,0.028738587503943133
3,2026-02-27,127396.58666666597,4778.68,0.026659367579889418
3,2026-02-28,55400.6799999997,4778.68,0.011593301916010216
3,2026-03-01,42924.39999999851,4778.68,0.00898248051763217
3,2026-03-02,134709.3679941073,4778.68,0.028189660741900966
3,2026-03-03,145449.58066540956,4778.68,0.030437187814503077
3,2026-03-04,139832.76939094812,4778.68,0.02926179810971819
3,2026-03-05,141514.60684019327,4778.68,0.029613744138589162
3,2026-03-06,135054.0607964918,4778.68,0.028261792125961936
3,2026-03-07,58125.42172975093,4778.68,0.012163489024113548
3,2026-03-08,41231.42524036765,4778.68,0.00862820386390544
3,2026-03-09,129828.14234562963,4778.68,0.027168201751452205
3,2026-03-10,138327.67542017996,4778.68,0.028946837917621593
3,2026-03-11,139864.94957983494,4778.68,0.02926853222643804
3,2026-03-12,131403.21920257807,4778.68,0.027497806758891172
4,2026-02-10,697608.8799999952,10309.89,0.0676640468520998
4,2026-02-11,631321.0566666722,10309.89,0.06123450945322135
4,2026-02-12,695902.4866666645,10309.89,0.06749853651849481
4,2026-02-13,669372.3199999928,10309.89,0.06492526302414409
4,2026-02-14,362258.1766666919,10309.89,0.03513695846092363
4,2026-02-15,225361.4956521541,10309.89,0.021858768197541786
4,2026-02-16,643896.5878260881,10309.89,0.0624542636076707
4,2026-02-17,681648.6400000006,10309.89,0.06611599541799192
4,2026-02-18,654138.5471014678,10309.89,0.06344767471830134
4,2026-02-19,669276.5600000024,10309.89,0.06491597485521208
4,2026-02-20,639910.0799999982,10309.89,0.062067595289571294
4,2026-02-21,378477.66666668653,10309.89,0.0367101556531337
4,2026-02-22,295953.8666666895,10309.89,0.028705821950252577
4,2026-02-23,653884.3333333135,10309.89,0.06342301744570636
4,2026-02-24,666970.8333333135,10309.89,0.06469233263723605
4,2026-02-25,645388.7399999946,10309.89,0.06259899378169842
4,2026-02-26,663461.8466666937,10309.89,0.06435198112362922
4,2026-02-27,665430.7026087046,10309.89,0.06454294881989087
4,2026-02-28,392539.6466666907,10309.89,0.038074086791099686
4,2026-03-01,274962.648550719,10309.89,0.02666979459050669
4,2026-03-02,704177.369047597,10309.89,0.06830115249023967
4,2026-03-03,99971137.91344535,10309.89,9.69662507683839
4,2026-03-04,667164.763320065,10309.89,0.06471114272994813
4,2026-03-05,678198.1301784911,10309.89,0.06578131582184593
4,2026-03-06,625339.7185166245,10309.89,0.06065435407328541
4,2026-03-07,334117.36774745304,10309.89,0.03240746193678624
4,2026-03-08,267900.1921494906,10309.89,0.02598477696168345
4,2026-03-09,516976.855387819,10309.89,0.05014377994215448
4,2026-03-10,650435.8380708806,10309.89,0.0630885332501977
4,2026-03-11,644682.9153934298,10309.89,0.06253053285664831
4,2026-03-12,575981.6149204364,10309.89,0.05586690206398288
5,2026-02-10,808104.9966666698,10008.87,0.08073888427631389
5,2026-02-11,761225.5199999958,10008.87,0.07605509113416357
5,2026-02-12,785542.0724637657,10008.87,0.07848459141379253
5,2026-02-13,779827.2765217274,10008.87,0.07791361827276479
5,2026-02-14,346489.1266666651,10008.87,0.034618206317662735
5,2026-02-15,271777.3599999994,10008.87,0.027153650711818557
5,2026-02-16,724633.0199999958,10008.87,0.0723990840124805
5,2026-02-17,759216.7133333236,10008.87,0.07585438849074107
5,2026-02-18,733775.5,10008.87,0.07331252179316945
5,2026-02-19,792028.3966666758,10008.87,0.07913264900699836
5,2026-02-20,755656.826666668,10008.87,0.0754987153061902
5,2026-02-21,380453.426666677,10008.87,0.03801162635409162
5,2026-02-22,310174.08333332837,10008.87,0.030989920274049752
5,2026-02-23,820995.5,10008.87,0.08202679223528729
5,2026-02-24,785118.8799999952,10008.87,0.07844230967132106
5,2026-02-25,776720.9166666716,10008.87,0.07760325757719619
5,2026-02-26,769761.75,10008.87,0.07690795764157192
5,2026-02-27,761456.1600000113,10008.87,0.07607813469452708
5,2026-02-28,380160.32000000775,10008.87,0.037982341662945736
5,2026-03-01,309867.3100000024,10008.87,0.030959270127397232
5,2026-03-02,826399.1120943874,10008.87,0.08256667456909594
5,2026-03-03,830209.9628401697,10008.87,0.08294742192077323
5,2026-03-04,761284.2120919079,10008.87,0.07606095514197984
5,2026-03-05,740271.1111110896,10008.87,0.0739615072541745
5,2026-03-06,736407.9998538345,10008.87,0.07357553848274925
5,2026-03-07,323468.19957984984,10008.87,0.03231815375560376
5,2026-03-08,239233.4500605613,10008.87,0.023902143804501536
5,2026-03-09,574583.118089363,10008.87,0.05740739145271773
5,2026-03-10,739930.8602388501,10008.87,0.07392751232045676
5,2026-03-11,723302.9419474304,10008.87,0.07226619408059354
5,2026-03-12,633651.3674720526,10008.87,0.06330898168045469
7,2026-02-10,1265465.1066666543,4834.72,0.26174527308027234
7,2026-02-11,1294219.759999998,4834.72,0.26769280537445767
7,2026-02-12,1244520.666666679,4834.72,0.25741318352803866
7,2026-02-13,1238906.7700000033,4834.72,0.25625202079955056
7,2026-02-14,1073624.749881424,4834.72,0.22206554875596188
7,2026-02-15,923135.7199999914,4834.72,0.19093881755303127
7,2026-02-16,1153934.99333331,4834.72,0.23867669551355813
7,2026-02-17,1208137.2100000083,4834.72,0.249887730830329
7,2026-02-18,1260874.1969697103,4834.72,0.26079570212333086
