kpi,descripcion,bloque,mes,valor,unidad,estado,umbral_objetivo,umbral_alerta,n_base,fecha_pico,hora_pico,dias_evaluados
KPI-01,Consumo/m2 (mensual),3,2026-01,0.014552681107302807,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),3,2026-02,0.6258743502389785,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),3,2026-03,0.6843720156269862,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),3,2026-04,0.6233772951505677,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),3,2026-05,0.780856497491697,kWh/m2,AVISO,0.45295099954379164,0.8032966352936997,4.0,,,
KPI-01,Consumo/m2 (mensual),3,2026-06,0.15954510804126007,kWh/m2,OK,0.507600108168489,0.8495777039910573,5.0,,,
KPI-01,Consumo/m2 (mensual),4,2026-01,0.0423754675588943,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),4,2026-02,1.571662794333081,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),4,2026-03,1.4343978421691108,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),4,2026-04,1.2145092718309132,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),4,2026-05,1.5148913125373082,kWh/m2,AVISO,0.9911347998948898,1.7636555706424417,4.0,,,
KPI-01,Consumo/m2 (mensual),4,2026-06,0.30680431988282947,kWh/m2,OK,1.074677624047851,1.7924868556576024,5.0,,,
KPI-01,Consumo/m2 (mensual),5,2026-01,0.04303726273724862,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),5,2026-02,1.822089682277907,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),5,2026-03,1.6664879448120955,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),5,2026-04,1.7549442096404229,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),5,2026-05,2.1171791411042538,kWh/m2,AVISO,1.229124990626234,2.1764199585712616,4.0,,,
KPI-01,Consumo/m2 (mensual),5,2026-06,0.43680443909647154,kWh/m2,OK,1.3770953127463785,2.302065764611814,5.0,,,
KPI-01,Consumo/m2 (mensual),7,2026-01,0.24395051939475149,kWh/m2,SIN_BASE,,,0.0,,,
KPI-01,Consumo/m2 (mensual),7,2026-02,7.028404687944404,kWh/m2,SIN_BASE,,,1.0,,,
KPI-01,Consumo/m2 (mensual),7,2026-03,6.961548673089981,kWh/m2,SIN_BASE,,,2.0,,,
KPI-01,Consumo/m2 (mensual),7,2026-04,5.673822409779391,kWh/m2,SIN_BASE,,,3.0,,,
KPI-01,Consumo/m2 (mensual),7,2026-05,7.923580478683456,kWh/m2,AVISO,4.628546362473482,8.193244858882853,4.0,,,
KPI-01,Consumo/m2 (mensual),7,2026-06,1.3899310469137955,kWh/m2,OK,5.176623059013909,8.647665469124457,5.0,,,
KPI-01,Consumo/m2 (mensual),8,2026-01,0.12790278683669593,kWh/m2,SIN_BASE,,,0.0,,,
